model,16kOL,COMB,EnPuns,FL+HME,Haha,NF,PotD,ReJ,ShJ,TheO,Uf.me
16kOL,0.9234545175640436,0.6486122036183841,0.6746746746746747,0.2844010341855788,0.7700192184497117,0.91324499376077,0.3007751937984496,0.6778523489932885,0.6330398447992837,0.5600215807930942,0.3838383838383838
COMB,0.6411444690711264,0.9162443089081694,0.5435540069686411,0.5680713128038898,0.9345047923322684,0.955644201000238,0.9682539682539684,0.6538461538461539,0.8510856356422307,0.6135097493036211,0.9691358024691358
EnPuns,0.53247311827957,0.686534730306558,0.918032786885246,0.7033553278113155,0.7624914442162902,0.8504188969048173,0.7391304347826086,0.6745843230403801,0.5290322580645161,0.5117600631412786,0.612
FL+HME,0.0257510729613733,0.4033674963396779,0.0293637846655791,0.975047258979206,0.1704545454545454,0.3303333755862593,0.4980132450331125,0.2634989200863931,0.5117433503741572,0.1848739495798319,0.3083700440528634
Haha,0.6172085503862044,0.7908503232222776,0.6983184965380811,0.3602484472049689,0.9423076923076924,0.9536818873214232,0.7076923076923075,0.6566125290023201,0.8416941620092924,0.4182225541448842,0.3984962406015038
NF,0.6673675357443228,0.7467935457178321,0.8540925266903914,0.7230415370044648,0.7616099071207431,0.9999429874572406,0.6842470506592644,0.6666666666666666,0.6528535319941466,0.5430181209075682,0.6097087378640778
PotD,0.006461086637298,0.5226493747105142,0.0917721518987341,0.1248266296809986,0.2332859174964437,0.0880701945610114,0.978936810431294,0.0369230769230769,0.6399642848966323,0.0110719677906391,0.011049723756906
ReJ,0.3641703377386197,0.2947666195190948,0.1837349397590361,0.2199092607419268,0.561467889908257,0.4427613412228797,0.1299852289512555,0.6979166666666667,0.2086140337597457,0.3095890410958903,0.1649484536082474
ShJ,0.7298233460339454,0.7809214299369146,0.617933723196881,0.3708425720620842,0.8213523131672597,0.9188572837375574,0.7177759056444818,0.5674653215636821,0.930446931860155,0.3626522327469553,0.277511961722488
Uf.me,0.6769540422676954,0.7343217450579413,0.7897990726429676,0.7172696245733788,0.7390180878552972,0.9229948925183814,0.5433070866141732,0.6598870056497175,0.5821720440266428,0.5427656654977894,0.923529411764706
